name,pos,pts_ppr_cbs,pts_cbs,pts_nfl,pts_fox,pts_espn
demetrius_harris,TE,29.0,14.0,0.0,19.1,
gerald_everett,TE,28.0,14.0,33.38,,
will_dissly,TE,27.0,13.0,48.02,,
mark_andrews,TE,26.0,13.0,21.29,,
adam_shaheen,TE,26.0,10.0,16.54,,
seth_devalve,TE,19.0,9.0,,15.6,
aj_derby,TE,19.0,8.0,45.17,9.3,
dalton_schultz,TE,18.0,8.0,17.22,,
durham_smythe,TE,18.0,8.0,,,
ian_thomas,TE,17.0,8.0,32.73,,
lance_kendricks,TE,16.0,7.0,11.33,74.3,
troy_niklas,TE,16.0,7.0,,,
dion_sims,TE,15.0,7.0,15.95,53.1,
nick_boyle,TE,14.0,6.0,30.32,,
mychal_rivera,TE,12.0,5.0,,23.9,
neal_sterling,TE,12.0,5.0,,,
ben_koyack,TE,12.0,5.0,0.0,21.8,
jerell_adams,TE,11.0,4.0,0.0,16.7,
erik_swoope,TE,10.0,4.0,17.43,4.0,
luke_stocker,TE,10.0,4.0,5.21,13.2,
brandon_williams,TE,9.0,4.0,,,
maxx_williams,TE,9.0,4.0,15.38,,
cj_uzomah,TE,8.0,4.0,17.72,22.6,
logan_thomas,TE,8.0,3.0,7.87,,
xavier_grimble,TE,8.0,3.0,9.06,19.6,
bucky_hodges,TE,8.0,3.0,0.0,,
eric_tomlinson,TE,8.0,3.0,19.18,,
jeremy_sprinkle,TE,7.0,3.0,5.82,,
jordan_thomas,TE,7.0,3.0,12.85,,
orson_charles,TE,7.0,3.0,,,
mason_schreck,TE,6.0,3.0,,,
jim_dray,TE,6.0,3.0,,2.2,
tyler_conklin,TE,6.0,2.0,14.13,,
eric_saubert,TE,6.0,2.0,5.83,,
gavin_escobar,TE,6.0,2.0,0.0,5.8,
james_oshaughnessy,TE,6.0,2.0,23.0,,
daniel_brown,TE,6.0,2.0,1.26,19.9,
chris_manhertz,TE,6.0,2.0,4.78,,
antony_auclair,TE,6.0,2.0,5.32,,
clay_harbor,TE,6.0,2.0,,,
michael_roberts,TE,6.0,2.0,8.76,,
derek_carrier,TE,5.0,2.0,7.32,,
phillip_supernaw,TE,5.0,1.0,,,
khari_lee,TE,5.0,1.0,,,
niles_paul,TE,4.0,1.0,26.36,3.6,
lee_smith,TE,4.0,0.0,14.67,5.9,
lee_smith,TE,4.0,0.0,14.67,5.9,
darrell_daniels,TE,4.0,0.0,9.1,,
darrell_daniels,TE,4.0,0.0,9.1,,
levine_toilolo,TE,3.0,0.0,21.19,17.3,
