key,name,pos,team,bye,std,half_ppr,ppr
lazard_WR_GB,Allen Lazard,WR,GB,13,207.0,224.0,225.8
vikings_DST_MIN,Vikings,DST,MIN,7,239.7,253.0,239.0
herndon_TE_MIN,Chris Herndon IV,TE,MIN,7,143.0,272.0,284.0
ahmed_RB_MIA,Salvon Ahmed,RB,MIA,14,212.0,217.7,238.0
hooper_TE_CLE,Austin Hooper,TE,CLE,13,213.0,207.3,178.8
mckinnon_RB_KC,Jerick McKinnon,RB,KC,12,244.3,238.7,228.0
lutz_K_NO,Wil Lutz,K,NO,6,236.7,196.0,201.8
smith_WR_NO,Tre'Quan Smith,WR,NO,6,216.0,197.0,208.5
toney_WR_NYG,Kadarius Toney,WR,NYG,10,219.0,219.0,241.5
packers_DST_GB,Packers,DST,GB,13,219.5,231.3,213.6
seahawks_DST_SEA,Seahawks,DST,SEA,9,220.5,199.0,223.4
scott_RB_PHI,Boston Scott,RB,PHI,14,225.0,223.5,233.8
panthers_DST_CAR,Panthers,DST,CAR,13,249.0,252.3,247.2
mcfarland_RB_PIT,Anthony McFarland Jr.,RB,PIT,7,171.0,198.0,229.0
titans_DST_TEN,Titans,DST,TEN,13,172.0,182.5,223.8
sanders_WR_BUF,Emmanuel Sanders,WR,BUF,7,226.5,191.5,198.4
palmer_WR_LAC,Josh Palmer,WR,LAC,7,229.5,240.5,237.0
cardinals_DST_ARI,Cardinals,DST,ARI,12,230.5,227.5,225.8
patterson_WR_ATL,Cordarrelle Patterson,WR,ATL,6,232.0,238.5,246.0
collins_WR_HOU,Nico Collins,WR,HOU,10,185.0,224.0,230.0
hill_QB_NO,Taysom Hill,QB,NO,6,186.0,198.0,228.0
wentz_QB_IND,Carson Wentz,QB,IND,14,252.3,244.5,229.0
cohen_RB_CHI,Tarik Cohen,RB,CHI,10,235.0,213.5,195.8
snell_RB_PIT,Benny Snell Jr.,RB,PIT,7,193.0,207.0,249.0
akins_TE_HOU,Jordan Akins,TE,HOU,10,195.0,183.0,184.0
jones_QB_NYG,Daniel Jones,QB,NYG,10,237.5,215.7,202.6
mitchell_RB_SF,Elijah Mitchell,RB,SF,6,196.0,209.0,213.0
tebow_TE_JAX,Tim Tebow,TE,JAX,7,238.5,242.5,248.0
howard_TE_TB,O.J. Howard,TE,TB,9,198.0,237.0,258.8
peoplesjones_WR_CLE,Donovan Peoples-Jones,WR,CLE,13,200.0,235.0,267.8
kmet_TE_CHI,Cole Kmet,TE,CHI,10,240.0,218.0,192.6
patterson_RB_WSH,Jaret Patterson,RB,WSH,9,201.0,238.0,268.5
chargers_DST_LAC,Chargers,DST,LAC,7,255.5,270.0,257.3
hawkins_RB_TEN,Javian Hawkins,RB,TEN,13,211.0,222.0,246.0
jackson_RB_LAC,Justin Jackson,RB,LAC,7,246.5,239.0,231.7
kelley_RB_LAC,Joshua Kelley,RB,LAC,7,215.0,257.0,293.0
knox_TE_BUF,Dawson Knox,TE,BUF,7,216.0,216.5,276.5
mcpherson_K_CIN,Evan McPherson,K,CIN,10,250.0,242.0,251.3
ebron_TE_PIT,Eric Ebron,TE,PIT,7,253.0,224.3,216.0
slayton_WR_NYG,Darius Slayton,WR,NYG,10,223.0,247.5,259.0
pringle_WR_KC,Byron Pringle,WR,KC,12,224.0,256.0,276.5
campbell_WR_IND,Parris Campbell,WR,IND,14,253.5,224.0,221.4
williams_WR_DET,Tyrell Williams,WR,DET,9,256.0,200.0,201.2
hurst_TE_ATL,Hayden Hurst,TE,ATL,6,235.0,216.0,245.3
saints_DST_NO,Saints,DST,NO,6,258.0,241.7,190.8
graham_TE_CHI,Jimmy Graham,TE,CHI,10,239.0,251.0,240.5
watkins_WR_BAL,Sammy Watkins,WR,BAL,8,260.5,219.3,229.3
darnold_QB_CAR,Sam Darnold,QB,CAR,13,261.5,224.0,210.4
perriman_WR_CHI,Breshad Perriman,WR,CHI,10,246.0,253.0,255.5
ficken_K_TEN,Sam Ficken,K,TEN,13,247.0,178.0,225.0
lock_QB_DEN,Drew Lock,QB,DEN,11,248.0,273.0,275.0
perine_RB_NYJ,La'Mical Perine,RB,NYJ,6,250.0,252.0,244.0
miller_WR_TB,Scotty Miller,WR,TB,9,255.0,278.0,289.5
taylor_QB_HOU,Tyrod Taylor,QB,HOU,10,256.0,271.0,283.0
